block,attn_mag,mlp_mag,resultant,cancel_idx,force_cos,block_speed,block_rel
0,27.46753,35.366486,57.380863,0.08678663,0.66258496,57.380863,12.016357
1,10.284396,8.0851755,13.238868,0.2793045,0.024826989,13.238869,0.22754417
2,9.600888,8.9437275,12.918108,0.30340385,-0.030802106,12.918108,0.23103608
3,9.206355,9.189068,12.208271,0.33634198,-0.119117096,12.208271,0.20157087
4,8.467753,10.711215,13.465978,0.2978779,-0.028116949,13.465979,0.21009699
5,8.495245,16.8721,19.10095,0.24702609,0.02793973,19.10095,0.27342167
6,16.3424,18.743818,25.709993,0.26723385,0.06953369,25.709993,0.32578954
7,10.500288,28.735624,31.55315,0.19580942,0.09877824,31.55315,0.35223567
8,17.728857,36.631466,44.681835,0.17804319,0.26198936,44.681835,0.41613105
9,17.722692,44.133816,53.248123,0.13916695,0.36659235,53.248127,0.3833711
10,22.609127,107.01011,123.81179,0.044803858,0.6958371,123.81179,0.69298756
11,265.92188,93.59305,333.62173,0.07202256,0.639441,333.62177,1.196526
