step,label,kind,speed_raw,speed_rel,accel,turn_deg,stream_norm
1,L0·attn,attn,27.46753,5.7520857,,,4.7752295
2,L0·mlp,mlp,35.366486,1.2392515,26.794471740722656,48.502684188879925,28.538586
3,L1·attn,attn,10.284396,0.17676392,41.153926849365234,117.60584358504913,58.181534
4,L1·mlp,mlp,8.0851755,0.14655715,12.923236846923828,88.57737365909723,55.16739
5,L2·attn,attn,9.600888,0.1717087,13.36742115020752,97.8264660321105,55.91381
6,L2·mlp,mlp,8.9437275,0.15161772,13.321304321289062,91.76510914316647,58.988667
7,L3·attn,attn,9.206356,0.15200622,13.24281120300293,93.69920570285986,60.56565
8,L3·mlp,mlp,9.189068,0.14549418,13.760452270507812,96.8411487167289,63.15763
9,L4·attn,attn,8.467753,0.13211438,12.803211212158203,92.86573441125061,64.09411
10,L4·mlp,mlp,10.711215,0.160119,13.839558601379395,91.61119228193031,66.89534
11,L5·attn,attn,8.495245,0.12160568,13.193708419799805,85.95882165026704,69.85895
12,L5·mlp,mlp,16.8721,0.23430954,18.67692756652832,88.39896414411096,72.007744
13,L6·attn,attn,16.3424,0.20708613,22.433101654052734,84.95466203856631,78.915955
14,L6·mlp,mlp,18.743818,0.22361018,23.995952606201172,86.0127955917184,83.82364
15,L7·attn,attn,10.500288,0.117217325,19.704784393310547,79.26679966142912,89.57966
16,L7·mlp,mlp,28.735624,0.31006545,29.60376739501953,84.33118124079904,92.675995
17,L8·attn,attn,17.728857,0.16511247,29.989885330200195,76.33813659028645,107.374435
18,L8·mlp,mlp,36.63147,0.31514773,36.2751579284668,74.8118655295827,116.23587
19,L9·attn,attn,17.722692,0.12759826,33.76649856567383,66.59430818792283,138.89447
20,L9·mlp,mlp,44.13382,0.2968666,41.09029769897461,68.49438860168236,148.6655
21,L10·attn,attn,22.609127,0.12654565,35.43114471435547,52.906986304619764,178.6638
22,L10·mlp,mlp,107.01011,0.54509354,92.7109146118164,45.9060407092323,196.31512
23,L11·attn,attn,265.92188,0.9537221,236.33001708984375,62.46096915536131,278.82532
24,L11·mlp,mlp,93.59305,0.20565061,218.2766876220703,50.24985010920665,455.10706
