word,neighbor,my_code,notes,claude_first_pass_code,cosine
water,water,,,MO,1.0
water,Water,,,MO,0.832
water,WATER,,,MO,0.7539
water,waters,,,MO,0.5078
water,Waters,,,MO,0.3926
water,WATERS,,,MO,0.3047
water,wod,,,NEEDS_REVIEW,0.3008
water,air,,,NEEDS_REVIEW,0.2578
water,watery,,,MO,0.2539
water,Waterman,,,NEEDS_REVIEW,0.2393
water,watering,,,MO,0.2363
water,watered,,,MO,0.2256
water,river,,,NEEDS_REVIEW,0.2236
water,waterproof,,,NEEDS_REVIEW,0.2217
water,watermark,,,NEEDS_REVIEW,0.2178
water,moisture,,,NEEDS_REVIEW,0.21
water,food,,,NEEDS_REVIEW,0.207
water,aquatic,,,NEEDS_REVIEW,0.207
water,liquid,,,NEEDS_REVIEW,0.2031
water,waterways,,,NEEDS_REVIEW,0.2031
water,oil,,,NEEDS_REVIEW,0.2021
water,hydro,,,NEEDS_REVIEW,0.2021
water,Watermark,,,NEEDS_REVIEW,0.1982
water,sea,,,NEEDS_REVIEW,0.1963
water,aqueous,,,NEEDS_REVIEW,0.1914
water,land,,,NEEDS_REVIEW,0.1885
water,Aqua,,,NEEDS_REVIEW,0.1865
water,fire,,,NEEDS_REVIEW,0.1846
water,groundwater,,,NEEDS_REVIEW,0.1826
water,fluid,,,NEEDS_REVIEW,0.1797
water,drinking,,,NEEDS_REVIEW,0.1797
water,Waterhouse,,,NEEDS_REVIEW,0.1787
water,blood,,,NEEDS_REVIEW,0.1777
water,gas,,,NEEDS_REVIEW,0.1768
water,wind,,,NEEDS_REVIEW,0.1768
water,light,,,NEEDS_REVIEW,0.1758
water,wet,,,NEEDS_REVIEW,0.1758
water,white,,,NEEDS_REVIEW,0.1738
water,ice,,,NEEDS_REVIEW,0.1738
water,rain,,,NEEDS_REVIEW,0.1738
water,waterway,,,NEEDS_REVIEW,0.1729
water,power,,,NEEDS_REVIEW,0.1719
water,fish,,,NEEDS_REVIEW,0.1719
water,ocean,,,NEEDS_REVIEW,0.1709
water,waterfront,,,NEEDS_REVIEW,0.1709
water,data,,,NEEDS_REVIEW,0.167
water,video,,,NEEDS_REVIEW,0.166
water,Hydro,,,NEEDS_REVIEW,0.166
water,energy,,,NEEDS_REVIEW,0.165
water,music,,,NEEDS_REVIEW,0.165
stone,stone,,,MO,0.9961
stone,Stone,,,MO,0.7852
stone,STONE,,,MO,0.7734
stone,stones,,,MO,0.7031
stone,Stones,,,MO,0.5664
stone,stony,,,MO,0.4102
stone,stoned,,,MO,0.4102
stone,rock,,,NEEDS_REVIEW,0.3984
stone,rocks,,,NEEDS_REVIEW,0.373
stone,granite,,,NEEDS_REVIEW,0.3691
stone,marble,,,NEEDS_REVIEW,0.3535
stone,brick,,,NEEDS_REVIEW,0.3516
stone,limestone,,,NEEDS_REVIEW,0.3438
stone,gemstone,,,NEEDS_REVIEW,0.3359
stone,sandstone,,,NEEDS_REVIEW,0.3301
stone,boulder,,,NEEDS_REVIEW,0.3301
stone,pebble,,,NEEDS_REVIEW,0.3262
stone,ROCK,,,NEEDS_REVIEW,0.3242
stone,Rock,,,NEEDS_REVIEW,0.3086
stone,Rocks,,,NEEDS_REVIEW,0.3027
stone,masonry,,,NEEDS_REVIEW,0.2949
stone,stoneware,,,NEEDS_REVIEW,0.2891
stone,rocky,,,NEEDS_REVIEW,0.2871
stone,boulders,,,NEEDS_REVIEW,0.2871
stone,pebbles,,,NEEDS_REVIEW,0.2832
stone,ROCKS,,,NEEDS_REVIEW,0.2812
stone,gravel,,,NEEDS_REVIEW,0.2734
stone,Marble,,,NEEDS_REVIEW,0.2656
stone,Brick,,,NEEDS_REVIEW,0.2578
stone,Granite,,,NEEDS_REVIEW,0.2578
stone,gemstones,,,NEEDS_REVIEW,0.2578
stone,Limestone,,,NEEDS_REVIEW,0.2559
stone,Stony,,,MO,0.2559
stone,bricks,,,NEEDS_REVIEW,0.252
stone,concrete,,,NEEDS_REVIEW,0.2471
stone,flint,,,NEEDS_REVIEW,0.2471
stone,quartz,,,NEEDS_REVIEW,0.2422
stone,Concrete,,,NEEDS_REVIEW,0.2422
stone,wooden,,,NEEDS_REVIEW,0.2402
stone,bone,,,NEEDS_REVIEW,0.2393
stone,basalt,,,NEEDS_REVIEW,0.2393
stone,tile,,,NEEDS_REVIEW,0.2363
stone,cement,,,NEEDS_REVIEW,0.2354
stone,Sandstone,,,NEEDS_REVIEW,0.2354
stone,ceramic,,,NEEDS_REVIEW,0.2324
stone,Quarry,,,NEEDS_REVIEW,0.2314
stone,geological,,,NEEDS_REVIEW,0.2305
stone,Bricks,,,NEEDS_REVIEW,0.2305
stone,rockers,,,NEEDS_REVIEW,0.2285
stone,wood,,,NEEDS_REVIEW,0.2275
bread,bread,,,MO,1.0
bread,Bread,,,MO,0.8203
bread,BREAD,,,MO,0.7031
bread,breads,,,MO,0.6484
bread,breadcrumbs,,,NEEDS_REVIEW,0.4492
bread,loaf,,,NEEDS_REVIEW,0.4336
bread,loaves,,,NEEDS_REVIEW,0.4277
bread,bakery,,,NEEDS_REVIEW,0.4043
bread,sourdough,,,NEEDS_REVIEW,0.3477
bread,Bakery,,,NEEDS_REVIEW,0.3418
bread,baker,,,NEEDS_REVIEW,0.3379
bread,Loaf,,,NEEDS_REVIEW,0.334
bread,bakers,,,NEEDS_REVIEW,0.3242
bread,breadth,,,NEEDS_REVIEW,0.3203
